Sample File	G:\Shared drives\EARL\STUDENTS\Patricia\2020\CCNC Internal Mixtures\Mixing Tube Experiments\Overnights\AS to Sucrose\mixing tube.S80																																																																			
Classifier Model	3080																																																																			
DMA Model	3081																																																																			
DMA Inner Radius(cm)	0.00937																																																																			
DMA Outer Radius(cm)	0.01961																																																																			
DMA Characteristic Length(cm)	0.44369																																																																			
CPC Model	3776 Low Flow																																																																			
Reference Gas Viscosity (Pa*s)	1.83E-05																																																																			
Reference Mean Free Path (m)	6.73E-08																																																																			
Reference Gas Temperature (K)	296.15																																																																			
Reference Gas Pressure (kPa)	101.3																																																																			
Channels/Decade	64																																																																			
Multiple Charge Correction	FALSE																																																																			
Nanoparticle Aggregate Mobility Analysis	FALSE																																																																			
Diffusion Correction	FALSE																																																																			
Units	dw/dlogDp																																																																			
Weight	Number																																																																			
Sample #	1		2		3		4		5		6		7		8		9		10		11		12		13		14		15		16		17		18		19		20		21		22		23		24		25		26		27		28		29		30		31		32		33		34	
Date	10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21	
Start Time	18:22:01		18:24:20		18:26:35		18:28:50		18:31:05		18:33:20		18:35:35		18:37:50		18:40:05		18:42:20		18:44:35		18:46:50		18:49:05		18:51:20		18:53:35		18:55:50		18:58:05		19:00:20		19:02:35		19:04:50		19:07:05		19:09:20		19:11:35		19:13:50		19:16:05		19:18:20		19:20:35		19:22:50		19:25:05		19:27:20		19:29:35		19:31:50		19:34:05		19:36:20	
Diameter Midpoint																																																																				
8.2	0		428.757		0		0		2771.87		0		2771.87		0		2771.87		4157.81		2771.87		1935.02		4586.56		0		4157.81		11516.2		6092.83		4157.81		4157.81		2771.87		8315.62		1385.94		5664.07		5543.74		4157.81		9701.55		5784.4		4586.56		10130.3		8315.62		4157.81		1814.69		1814.69		0	
8.51	1333.39		0		0		2666.78		5333.56		1333.39		2666.78		0		1333.39		2666.78		0		3884.41		1333.39		3304.55		0		1333.39		5217.8		5333.56		5333.56		1333.39		0		1333.39		6551.19		5971.33		4637.94		5275.72		9102.2		1333.39		5333.56		1333.39		0		8000.34		5333.56		5333.56	
8.82	1281.08		1281.08		0		2562.16		1108.04		0		2562.16		0		0		3670.2		2562.16		1281.08		0		1949.41		2562.16		1281.08		1281.08		3843.25		0		1281.08		2562.16		2562.16		2562.16		5619.62		5792.66		6460.99		1108.04		2562.16		2562.16		3843.25		0		0		9729.53		2562.16	
9.14	0		1229.41		1229.41		1229.41		166.062		0		1229.41		0		0		166.062		1229.41		303.021		4917.63		2458.82		3688.22		1229.41		1229.41		1229.41		2458.82		1229.41		3688.22		2458.82		0		7542.51		2458.82		3688.22		166.062		1229.41		1229.41		3688.22		3688.22		1229.41		498.187		3688.22	
9.47	1181.74		0		735.952		1181.74		1181.74		0		735.952		0		1181.74		1181.74		1181.74		3253.94		0		1181.74		1917.69		0		735.952		2363.48		1181.74		0		2363.48		0		1181.74		1181.74		1181.74		1181.74		6644.65		1181.74		0		1181.74		0		2363.48		0		1181.74	
9.82	1127.54		0		428.082		1134.8		0		0		428.082		0		0		2269.61		2269.61		2269.61		1134.8		0		2697.69		3404.41		1562.89		1134.8		0		1134.8		2269.61		0		3404.41		0		1134.8		2262.34		428.082		3404.41		1134.8		0		1134.8		2269.61		5674.02		0	
10.2	6.98644		0		2182.9		2182.9		1091.45		0		3274.36		1091.45		0		1091.45		4757.37		0		1091.45		0		0		3274.36		2182.9		0		0		2182.9		2182.9		1091.45		1091.45		2182.9		2182.9		6.98644		1091.45		2182.9		1483.01		0		6548.71		2182.9		1091.45		0	
10.6	0		0		0		2097.76		0		1048.88		0		2850.86		2097.76		2097.76		672.592		1048.88		1048.88		1048.88		1801.98		3146.63		1048.88		0		0		1048.88		1048.88		0		3146.63		1048.88		3146.63		1048.88		2850.86		3146.63		1721.47		1048.88		2097.76		3146.63		1048.88		0	
10.9	1007.27		0		1007.27		2014.55		3021.82		2014.55		71.6503		355.696		5036.37		1007.27		1007.27		2014.55		1007.27		1007.27		284.046		1007.27		0		1007.27		0		3021.82		0		0		2014.55		1007.27		71.6503		0		1291.32		2086.2		2014.55		1007.27		1007.27		0		1007.27		0	
11.3	404.873		968.844		2906.53		1937.69		1937.69		0		2837.62		3806.46		0		1373.72		968.844		2906.53		1937.69		0		968.844		968.844		968.844		0		1937.69		404.873		0		1937.69		2906.53		968.844		2837.62		0		1778.59		899.928		968.844		809.746		1937.69		0		968.844		1937.69	
11.8	1473.47		0		3725.34		931.336		7225.34		4656.68		931.336		1862.67		4656.68		2404.81		2794.01		931.336		705.987		0		0		1862.67		931.336		931.336		705.987		542.137		931.336		1862.67		1862.67		0		1862.67		2568.66		5515.6		0		705.987		1790.26		1862.67		931.336		931.336		1862.67	
12.2	1789.73		0		8948.67		1871.44		2006.26		5369.2		3579.47		1871.44		1789.73		3579.47		2684.6		2684.6		2006.26		894.867		1871.44		894.867		3579.47		894.867		1111.39		894.867		3579.47		894.867		1789.73		894.867		1789.73		2006.26		2006.26		3579.47		2901.12		216.524		4474.33		1789.73		1789.73		1871.44	
12.6	0		0		2583.43		3365.95		2583.43		4305.72		5526.34		4227.09		3444.58		3444.58		2583.43		861.144		2583.43		3444.58		1643.66		861.144		861.144		861.144		3444.58		1722.29		2081.76		861.144		861.144		1220.61		2942.9		861.144		861.144		2583.43		861.144		2942.9		1722.29		0		861.144		4227.09	
13.1	0		0		2270.63		5809.09		3319.48		9128.56		4632.8		7860.74		1659.74		7468.82		3930.37		4149.35		4149.35		2489.61		5590.11		2489.61		2489.61		3100.5		3319.48		4979.22		1924.22		1659.74		1659.74		1313.32		5243.7		829.869		4149.35		4979.22		829.869		5462.67		0		0		1659.74		1659.74	
13.6	797.989		0		7430.07		7979.89		6383.92		6383.92		7219.51		3613.08		4027.55		5585.93		5036.1		6383.92		3229.56		3229.56		5796.49		835.59		2393.97		1008.55		3989.95		1633.58		2642.13		2431.57		3191.96		5623.53		2642.13		5585.93		1595.98		4787.94		1671.18		3191.96		3191.96		1595.98		1595.98		2393.97	
14.1	0		768.466		5612.08		6916.2		5379.26		9221.6		12259.3		5148.86		10991.3		5917.32		9953.85		1805.96		4344.18		8685.95		3842.33		4574.59		1536.93		5379.26		1805.96		8416.92		4574.59		6111.52		3073.87		3806.12		6649.58		3342.89		6916.2		3073.87		5306.85		3842.33		3073.87		269.029		2305.4		2574.43	
14.6	2219.55		0		7139.48		11574.7		14008.4		5918.79		8615.33		12799.3		8356.32		12799.3		8615.33		3917.23		6880.47		6136.77		5655.94		7875.48		1956.69		5178.94		2914.52		3699.24		2219.55		2959.4		4176.24		5178.94		6617.61		5659.78		7135.63		1479.7		4916.09		7135.63		3436.39		4180.08		1479.7		2700.39	
15.1	0		0		4279.71		10190		7794.22		6419.56		9526.12		7083.4		13657.5		5706.28		5246.41		12379.3		10600.4		4483.68		10190		8099.55		3819.84		8559.41		4073.26		4992.99		5656.84		4279.71		7336.82		10600.4		5959.69		2853.14		5196.97		5607.4		4533.12		8000.67		7336.82		6370.12		2853.14		3467.54	
15.7	2062.57		0		5642.96		9673		9033.13		16786.1		16098.6		10646		10053.8		9910.87		10598.4		5642.96		9318.66		8038.72		8583.48		11000.4		8937.82		9768.1		11000.4		6187.72		4860.33		7018.01		11735.6		8488.37		9223.34		10455.6		8440.71		6425.79		6616.01		6970.55		8985.47		8440.71		4955.43		7113.32	
16.3	1987.79		0		5825.78		13881.7		13534		18559.6		11933.7		13639.3		15942		20580.2		10326.4		15384.2		12281.4		12143.8		15594.3		7603.46		7255.77		11093.8		6593.17		5963.37		7603.46		8791.07		12208.8		12104		14301.9		9768.56		13081.5		8095.68		9526.18		6940.87		9276.35		7780.77		4815.49		4467.79	
16.8	638.518		0		7959.93		17739.7		12796.2		15818.4		17563.6		16728.8		18979.4		18511.3		12770.4		13902.8		13099.7		12802		11354.5		12296.5		11354.5		6246.38		11354.5		10045.9		7997.28		6720.24		10880.7		10551.3		10216.3		12461.2		13567.8		14711.8		9875.48		11828.4		9407.37		12802		4463.88		11993	
17.5	1232.25		616.126		12616.1		14916.1		15696.7		14024.5		14793.3		19569.6		23266.4		16928.9		15379.6		20813.7		16324.6		17251.5		15555.8		14904.4		11231.1		10626.8		11254.7		8766.64		12903.3		11682.8		16312.8		15391.4		12915.1		16289.3		16512.6		18161.2		14499.8		11706.4		11242.9		11090.3		11407.4		11859.1	
18.1	1188.95		0		15490.5		20505.6		13371.9		23596.3		25726.2		18710.8		21737.1		18387.1		23931.4		22525.7		15403.3		17628.8		20018.1		16820.4		12895.7		14667.8		14656.5		11912.2		16398.2		15014.3		14225.7		21801.5		15868.1		14118.8		17758.5		20300.2		17499.2		14991.6		16451.2		8582.02		10711.9		7998.9	
18.8	574.294		0		14229.7		22657.4		22019.3		21128.3		25398.9		17488.8		25604.4		30893.7		20804.5		26107.9		22853.5		23872.2		21064.5		17295		17044.4		27381.7		16853		16016.4		18776.7		19017.9		20939.2		15321.6		20809.2		22213.1		21577.3		26493.1		19466.9		21889.3		17108.2		13787.7		10592.5		13149.7	
19.5	1664.28		554.761		16577.1		19100.4		21746.9		24150.8		20822.3		21496.3		31913.4		28831.4		29887.4		26242.6		21808.5		27047.9		24956.2		21249.7		21072.8		20341.2		19581.4		15594.9		17251.2		17000.6		24011.4		21261.8		20020.9		20883.9		15829.4		17062.2		23102.9		16634.8		20645.4		16018.4		12689.8		16823.7	
20.2	2679.41		0		11824.6		18973.6		23905.4		36009.7		30188.7		28984.5		35971.3		36560.5		29155.4		25695.6		29579.1		31649		24111.5		28395.3		20507.6		21140.7		24123.1		20142.6		24037.8		24441.3		23563.7		25998.8		25218.4		23295.9		20080.6		34087.2		23369.5		18899.9		20861		18364.1		17828.2		19327	
20.9	1552.97		0		15755		21911.6		22093.3		25302.1		26839.2		37172.5		38595.3		36500.7		36654.8		33944.1		30126.9		23440.9		28364.6		28423.9		21686.3		26278.1		25369.2		26179.3		23776.8		22555.7		30320.5		32687.6		23523.8		32000		24669.8		29802.9		28222.3		23673.9		21002.7		19939.7		19422.1		21421.6	
