Sample File	G:\Shared drives\EARL\STUDENTS\Patricia\2020\CCNC Internal Mixtures\Mixing Tube Experiments\Overnights\AS to Sucrose\AS only.S80							
Classifier Model	3080							
DMA Model	3081							
DMA Inner Radius(cm)	0.00937							
DMA Outer Radius(cm)	0.01961							
DMA Characteristic Length(cm)	0.44369							
CPC Model	3776 Low Flow							
Reference Gas Viscosity (Pa*s)	1.83E-05							
Reference Mean Free Path (m)	6.73E-08							
Reference Gas Temperature (K)	296.15							
Reference Gas Pressure (kPa)	101.3							
Channels/Decade	64							
Multiple Charge Correction	FALSE							
Nanoparticle Aggregate Mobility Analysis	FALSE							
Diffusion Correction	FALSE							
Units	dw/dlogDp							
Weight	Number							
Sample #	1		2		3		4	
Date	10/6/21		10/6/21		10/6/21		10/6/21	
Start Time	17:54:37		17:56:55		17:59:10		18:01:25	
Diameter Midpoint								
8.2	5972.5		25067.2		29433.7		17609.1	
8.51	5971.33		18551.7		17276.2		7188.96	
8.82	4338.53		13918.9		16709.6		17149.4	
9.14	9074.94		24130.9		15055.9		14919	
9.47	10344.4		11079.2		15807.3		10189.9	
9.82	11340.8		14887.4		24251.7		29918.4	
10.2	11313.1		28475		35408.2		25508.9	
10.6	17616.2		27648.2		40315.7		28562.3	
10.9	26249		39059.5		38548.7		42933.4	
11.3	36855.1		44287.7		52425.5		42104.2	
11.8	55448.5		59960.3		69673.8		60166.7	
12.2	67061.6		75793.5		92281.1		89895	
12.6	98837.1		115540		121845		125181	
13.1	93310.5		133015		171035		141252	
13.6	122813		159758		162996		150831	
14.1	152005		171939		206960		200633	
14.6	191061		213129		241397		216877	
15.1	255276		288458		301114		280593	
15.7	268416		306669		304791		327553	
16.3	285741		354064		350921		371830	
16.8	362735		407653		418575		414999	
17.5	392141		443596		474668		485693	
18.1	443647		497883		516215		552150	
18.8	512754		538819		588707		602497	
19.5	602753		619175		648421		646307	
20.2	655040		651659		692864		684204	
20.9	657399		709062		720494		748751	
21.7	711321		767252		831742		807133	
22.5	751604		818117		874465		918626	
23.3	828410		838778		935762		914104	
24.1	859126		899946		946237		958035	
25	924649		939374		1.01E+06		1.01E+06	
25.9	991578		997235		1.07E+06		1.11E+06	
26.9	988277		1.04E+06		1.13E+06		1.11E+06	
27.9	1.07E+06		1.14E+06		1.13E+06		1.18E+06	
28.9	1.06E+06		1.12E+06		1.19E+06		1.20E+06	
30	1.09E+06		1.13E+06		1.22E+06		1.24E+06	
31.1	1.17E+06		1.17E+06		1.23E+06		1.26E+06	
32.2	1.17E+06		1.19E+06		1.29E+06		1.33E+06	
33.4	1.19E+06		1.25E+06		1.30E+06		1.37E+06	
34.6	1.19E+06		1.27E+06		1.33E+06		1.33E+06	
35.9	1.21E+06		1.26E+06		1.37E+06		1.35E+06	
37.2	1.21E+06		1.29E+06		1.34E+06		1.39E+06	
38.5	1.21E+06		1.28E+06		1.36E+06		1.37E+06	
40	1.23E+06		1.28E+06		1.37E+06		1.38E+06	
41.4	1.25E+06		1.30E+06		1.37E+06		1.41E+06	
42.9	1.25E+06		1.29E+06		1.36E+06		1.41E+06	
44.5	1.25E+06		1.28E+06		1.36E+06		1.43E+06	
46.1	1.26E+06		1.30E+06		1.36E+06		1.37E+06	
47.8	1.21E+06		1.27E+06		1.37E+06		1.37E+06	
49.6	1.23E+06		1.28E+06		1.34E+06		1.34E+06	
51.4	1.23E+06		1.26E+06		1.32E+06		1.36E+06	
53.3	1.19E+06		1.25E+06		1.31E+06		1.35E+06	
55.2	1.19E+06		1.23E+06		1.29E+06		1.35E+06	
57.3	1.13E+06		1.21E+06		1.30E+06		1.31E+06	
59.4	1.17E+06		1.17E+06		1.27E+06		1.26E+06	
61.5	1.14E+06		1.17E+06		1.22E+06		1.28E+06	
63.8	1.11E+06		1.13E+06		1.21E+06		1.21E+06	
66.1	1.08E+06		1.09E+06		1.19E+06		1.20E+06	
68.5	1.07E+06		1.08E+06		1.16E+06		1.15E+06	
71	1.00E+06		1.03E+06		1.11E+06		1.14E+06	
73.7	975013		999868		1.10E+06		1.10E+06	
76.4	959995		955801		1.04E+06		1.06E+06	
79.1	888622		928578		1.02E+06		1.00E+06	
82	859531		890041		951779		988868	
85.1	815208		813792		909998		897131	
88.2	762634		806420		840265		845222	
91.4	729718		739702		793404		778180	
94.7	669750		692864		744212		736380	
98.2	642445		645764		713833		713161	
101.8	573881		609160		663435		635470	
105.5	520765		548100		599146		600502	
109.4	493401		517737		547099		531333	
113.4	451457		478716		500337		519224	
117.6	407432		402259		444531		461853	
121.9	362548		367711		406421		409532	
126.3	349255		341877		365909		365693	
131	298873		297955		339854		332819	
135.8	269427		258170		291662		298207	
140.7	237985		246710		244937		265913	
145.9	201039		214000		221513		223952	
151.2	184900		188689		197534		197141	
156.8	165126		159925		182590		179766	
162.5	141432		143764		153400		155720	
168.5	127018		131737		137977		133798	
174.7	107179		105793		118075		113106	
181.1	88184.5		97551.8		97361.4		99731.7	
187.7	72339.7		75926		81432.3		81004.4	
194.6	63781.5		65821.9		72900.7		72834.2	
201.7	59670.5		48358.9		60686.7		59634	
209.1	43064.3		42071.7		54329.6		50616.5	
216.7	39571.3		38705.8		40981.2		42063.1	
224.7	30663.4		30031.6		37949.8		35425.7	
232.9	25125.2		22069.1		28773.3		29908.6	
241.4	17025.6		21848.3		20945.4		23183.3	
250.3	19224		16513.8		16016.4		18038.1	
259.5	11528.2		12818.1		15106.1		14695.4	
269	10589.1		11856.5		10167.7		9680.81	
278.8	8032.37		8725.79		8158.88		8161.31	
289	6005.46		7574.21		7692.52		7566.8	
299.6	5671.83		5497.58		7914.58		6335.41	
310.6	6130.25		5188.58		5237.41		6397.94	
322	3517.34		4220.55		6312.07		4482.02	
333.8	3566.35		4492.04		4727.51		4738.38	
346	3361.03		3209.89		1305.91		3091.88	
Scan Up Time(s)	120		120		120		120	
Retrace Time(s)	15		15		15		15	
Down Scan First	FALSE		FALSE		FALSE		FALSE	
Scans Per Sample	1		1		1		1	
Impactor Type(cm)	0.071		0.071		0.071		0.071	
Sheath Flow(lpm)	7.99998		7.99998		7.99998		7.99998	
Aerosol Flow(lpm)	0.8		0.8		0.8		0.8	
CPC Inlet Flow(lpm)	0.3		0.3		0.3		0.3	
CPC Sample Flow(lpm)	0.05		0.05		0.05		0.05	
Low Voltage	10.0725		10.0725		10.0725		10.0725	
High Voltage	9959.97		9959.97		9959.97		9959.97	
Lower Size(nm)	8.05842		8.05842		8.05842		8.05842	
Upper Size(nm)	352.269		352.269		352.269		352.269	
Density(g/cc)	1.77		1.77		1.77		1.77	
Title								
Status Flag	Normal Scan		Normal Scan		Normal Scan		Normal Scan	
td(s)	2.84875		2.84875		2.84875		2.84875	
tf(s)	2.82031		2.82031		2.82031		2.82031	
D50(nm)	612.514		612.514		612.514		612.514	
Median(nm)		45.1693		44.6697		44.8387		44.7481
Mean(nm)	54.444		53.8795		54.12		54.0375	
Geo. Mean(nm)	45.8253		45.2231		45.3626		45.3828	
Mode(nm)	46.1384		46.1384		39.9542		44.5079	
Geo. Std. Dev.	1.7913		1.80201		1.80743		1.79952	
Total Concentration(#/cm³)	870014		907109		967535		978266	
Raw Data - Time(s)	Diameter #1	Counts #1	Diameter #2	Counts #2	Diameter #3	Counts #3	Diameter #4	Counts #4
0.1	6.856757	1	6.856757	6	6.856757	3	6.856757	4
0.2	6.876653	0	6.876653	3	6.876653	5	6.876653	5
0.3	6.896675	1	6.896675	3	6.896675	2	6.896675	6
0.4	6.916688	0	6.916688	3	6.916688	3	6.916688	4
0.5	6.936759	0	6.936759	3	6.936759	5	6.936759	4
0.6	6.956821	2	6.956821	5	6.956821	6	6.956821	5
0.7	6.97701	0	6.97701	2	6.97701	4	6.97701	4
0.8	6.997259	1	6.997259	3	6.997259	1	6.997259	4
0.9	7.017635	0	7.017635	4	7.017635	3	7.017635	5
1	7.038002	0	7.038002	4	7.038002	1	7.038002	2
1.1	7.058428	1	7.058428	3	7.058428	4	7.058428	3
1.2	7.078915	0	7.078915	3	7.078915	4	7.078915	4
1.3	7.099391	0	7.099391	3	7.099391	2	7.099391	7
1.4	7.119998	2	7.119998	1	7.119998	2	7.119998	4
1.5	7.140665	1	7.140665	2	7.140665	4	7.140665	9
1.6	7.161392	0	7.161392	4	7.161392	2	7.161392	6
1.7	7.18218	0	7.18218	3	7.18218	4	7.18218	6
1.8	7.2031	0	7.2031	3	7.2031	1	7.2031	2
1.9	7.22401	1	7.22401	1	7.22401	2	7.22401	4
2	7.244981	0	7.244981	1	7.244981	1	7.244981	4
2.1	7.266014	0	7.266014	2	7.266014	4	7.266014	2
2.2	7.287108	0	7.287108	4	7.287108	3	7.287108	2
2.3	7.308193	0	7.308193	3	7.308193	4	7.308193	2
2.4	7.329411	0	7.329411	5	7.329411	2	7.329411	0
2.5	7.350691	0	7.350691	3	7.350691	2	7.350691	4
2.6	7.372034	0	7.372034	3	7.372034	2	7.372034	5
2.7	7.393439	0	7.393439	0	7.393439	3	7.393439	1
2.8	7.414907	0	7.414907	3	7.414907	2	7.414907	2
2.9	7.436511	0	7.436511	4	7.436511	4	7.436511	1
3	7.458105	0	7.458105	3	7.458105	2	7.458105	4
3.1	7.479762	0	7.479762	1	7.479762	3	7.479762	2
3.2	7.501483	0	7.501483	3	7.501483	3	7.501483	2
3.3	7.523267	0	7.523267	6	7.523267	1	7.523267	4
3.4	7.545115	1	7.545115	3	7.545115	2	7.545115	4
3.5	7.567028	0	7.567028	3	7.567028	1	7.567028	3
3.6	7.589004	1	7.589004	3	7.589004	4	7.589004	3
3.7	7.611045	0	7.611045	2	7.611045	3	7.611045	4
3.8	7.633076	0	7.633076	4	7.633076	1	7.633076	1
3.9	7.655246	0	7.655246	3	7.655246	2	7.655246	4
4	7.677482	0	7.677482	2	7.677482	1	7.677482	1
4.1	7.699782	0	7.699782	2	7.699782	2	7.699782	0
4.2	7.722148	1	7.722148	1	7.722148	3	7.722148	1
4.3	7.74458	0	7.74458	1	7.74458	2	7.74458	1
4.4	7.767077	0	7.767077	0	7.767077	3	7.767077	1
4.5	7.78964	0	7.78964	1	7.78964	0	7.78964	1
4.6	7.81227	0	7.81227	2	7.81227	1	7.81227	2
4.7	7.834966	0	7.834966	2	7.834966	1	7.834966	3
4.8	7.857728	0	7.857728	3	7.857728	2	7.857728	3
4.9	7.880557	0	7.880557	2	7.880557	2	7.880557	2
5	7.903454	1	7.903454	1	7.903454	3	7.903454	4
5.1	7.926417	0	7.926417	3	7.926417	2	7.926417	3
5.2	7.949448	0	7.949448	1	7.949448	1	7.949448	2
5.3	7.972546	0	7.972546	1	7.972546	1	7.972546	3
