Sample File	G:\Shared drives\EARL\STUDENTS\Patricia\2020\CCNC Internal Mixtures\Mixing Tube Experiments\Overnights\AS to Sucrose\sucrose only pre mixing.S80							
Classifier Model	3080							
DMA Model	3081							
DMA Inner Radius(cm)	0.00937							
DMA Outer Radius(cm)	0.01961							
DMA Characteristic Length(cm)	0.44369							
CPC Model	3776 Low Flow							
Reference Gas Viscosity (Pa*s)	1.83E-05							
Reference Mean Free Path (m)	6.73E-08							
Reference Gas Temperature (K)	296.15							
Reference Gas Pressure (kPa)	101.3							
Channels/Decade	64							
Multiple Charge Correction	FALSE							
Nanoparticle Aggregate Mobility Analysis	FALSE							
Diffusion Correction	FALSE							
Units	dw/dlogDp							
Weight	Number							
Sample #	1		2		3		4	
Date	10/6/21		10/6/21		10/6/21		10/6/21	
Start Time	18:10:45		18:13:03		18:15:18		18:17:33	
Diameter Midpoint								
8.2	2771.87		38638.8		35458.8		37969.4	
8.51	9971.5		44872.3		36118.4		30494.4	
8.82	8354.82		30165		24718.4		17817.7	
9.14	13826.5		25252.4		21838.1		27213	
9.47	12998		14180.9		34714		18462	
9.82	32616.1		28355.6		22823.7		31060.5	
10.2	24109.1		34240.5		29181.8		24802.1	
10.6	33645.7		27809.2		36415.5		31466.9	
10.9	34163.9		31569.4		41074		39711.1	
11.3	49428.8		38792.8		33948.6		38861.7	
11.8	43268.7		47772.4		53105.2		45909.8	
12.2	79156.5		78098.2		56458.1		59792.3	
12.6	92288.8		81393.4		65424.8		64780.9	
13.1	90173		74314.5		106898		80133.2	
13.6	118574		102870		108931		104828	
14.1	132005		104935		131555		119637	
14.6	142729		148040		134208		148580	
15.1	173731		159280		153715		170746	
15.7	192999		200657		189228		182734	
16.3	211307		226790		223411		216083	
16.8	270445		239048		243297		232561	
17.5	276861		272289		262578		270347	
18.1	317266		325752		309988		310875	
18.8	353181		343782		341236		358151	
19.5	400357		375065		385743		392225	
20.2	422879		448663		424202		415469	
20.9	475013		468595		453943		435220	
21.7	489341		504853		485337		507849	
22.5	560635		537965		540668		544501	
23.3	623220		589788		626636		597063	
24.1	659763		611810		652458		626804	
25	700399		664587		669772		680923	
25.9	741266		763700		723954		714040	
26.9	792705		755697		756844		781605	
27.9	830503		816811		829832		838102	
28.9	885045		893432		876256		883250	
30	917789		939105		907252		910426	
31.1	946786		929191		953194		953773	
32.2	1.04E+06		1.06E+06		1.04E+06		1.02E+06	
33.4	1.10E+06		1.05E+06		1.07E+06		1.09E+06	
34.6	1.17E+06		1.13E+06		1.15E+06		1.14E+06	
35.9	1.19E+06		1.22E+06		1.20E+06		1.18E+06	
37.2	1.25E+06		1.22E+06		1.19E+06		1.25E+06	
38.5	1.27E+06		1.25E+06		1.25E+06		1.25E+06	
40	1.34E+06		1.28E+06		1.33E+06		1.29E+06	
41.4	1.39E+06		1.37E+06		1.40E+06		1.36E+06	
42.9	1.40E+06		1.40E+06		1.41E+06		1.39E+06	
44.5	1.48E+06		1.48E+06		1.42E+06		1.44E+06	
46.1	1.53E+06		1.48E+06		1.48E+06		1.47E+06	
47.8	1.56E+06		1.53E+06		1.49E+06		1.54E+06	
49.6	1.58E+06		1.52E+06		1.56E+06		1.58E+06	
51.4	1.60E+06		1.58E+06		1.61E+06		1.60E+06	
53.3	1.61E+06		1.68E+06		1.62E+06		1.62E+06	
55.2	1.64E+06		1.62E+06		1.66E+06		1.65E+06	
57.3	1.70E+06		1.69E+06		1.69E+06		1.71E+06	
59.4	1.71E+06		1.68E+06		1.68E+06		1.68E+06	
61.5	1.67E+06		1.69E+06		1.72E+06		1.70E+06	
63.8	1.71E+06		1.69E+06		1.71E+06		1.72E+06	
66.1	1.73E+06		1.67E+06		1.72E+06		1.73E+06	
68.5	1.69E+06		1.72E+06		1.77E+06		1.71E+06	
71	1.71E+06		1.71E+06		1.71E+06		1.74E+06	
73.7	1.70E+06		1.67E+06		1.71E+06		1.72E+06	
76.4	1.71E+06		1.71E+06		1.71E+06		1.68E+06	
79.1	1.70E+06		1.68E+06		1.70E+06		1.69E+06	
82	1.71E+06		1.71E+06		1.68E+06		1.66E+06	
85.1	1.68E+06		1.67E+06		1.66E+06		1.66E+06	
88.2	1.66E+06		1.63E+06		1.66E+06		1.63E+06	
91.4	1.63E+06		1.61E+06		1.62E+06		1.64E+06	
94.7	1.61E+06		1.58E+06		1.58E+06		1.61E+06	
98.2	1.57E+06		1.53E+06		1.57E+06		1.58E+06	
101.8	1.53E+06		1.57E+06		1.55E+06		1.51E+06	
105.5	1.50E+06		1.48E+06		1.50E+06		1.49E+06	
109.4	1.47E+06		1.43E+06		1.44E+06		1.46E+06	
113.4	1.41E+06		1.40E+06		1.41E+06		1.39E+06	
117.6	1.37E+06		1.33E+06		1.35E+06		1.34E+06	
121.9	1.34E+06		1.30E+06		1.27E+06		1.32E+06	
126.3	1.26E+06		1.25E+06		1.23E+06		1.23E+06	
131	1.22E+06		1.19E+06		1.17E+06		1.17E+06	
135.8	1.13E+06		1.12E+06		1.14E+06		1.11E+06	
140.7	1.10E+06		1.07E+06		1.05E+06		1.07E+06	
145.9	1.03E+06		1.02E+06		984277		997244	
151.2	933206		950798		947919		933231	
156.8	922147		900243		874602		873875	
162.5	875065		805198		822846		813061	
168.5	794418		754762		741086		751178	
174.7	724758		703280		687138		684750	
181.1	662575		623903		605446		602805	
187.7	626466		596236		566921		572149	
194.6	569616		533991		511359		515600	
201.7	517476		472604		474088		467159	
209.1	446170		441282		427143		419695	
216.7	415161		393053		376329		373037	
224.7	360658		333482		341422		317685	
232.9	317237		316514		303690		296613	
241.4	276886		269387		250120		248368	
250.3	245597		233360		215953		225034	
259.5	218406		198432		199963		188949	
269	185985		176361		161758		167816	
278.8	152242		143045		146109		137398	
289	142710		133573		118889		110495	
299.6	118243		110446		111400		97753.1	
310.6	99387.3		85032.2		91673.4		84761.3	
322	84986.5		74327.9		72379.4		75480.1	
333.8	65321.1		67547		63468.3		61735	
346	56728.6		52969.1		54971.1		46816.9	
Scan Up Time(s)	120		120		120		120	
Retrace Time(s)	15		15		15		15	
Down Scan First	FALSE		FALSE		FALSE		FALSE	
Scans Per Sample	1		1		1		1	
Impactor Type(cm)	0.071		0.071		0.071		0.071	
Sheath Flow(lpm)	7.99998		7.99998		7.99998		7.99998	
Aerosol Flow(lpm)	0.8		0.8		0.8		0.8	
CPC Inlet Flow(lpm)	0.3		0.3		0.3		0.3	
CPC Sample Flow(lpm)	0.05		0.05		0.05		0.05	
Low Voltage	10.0725		10.0725		10.0725		10.0725	
High Voltage	9959.97		9959.97		9959.97		9959.97	
Lower Size(nm)	8.05842		8.05842		8.05842		8.05842	
Upper Size(nm)	352.269		352.269		352.269		352.269	
Density(g/cc)	1.59		1.59		1.59		1.59	
Title								
Status Flag	Normal Scan		Normal Scan		Normal Scan		Normal Scan	
td(s)	2.84875		2.84875		2.84875		2.84875	
tf(s)	2.82031		2.82031		2.82031		2.82031	
D50(nm)	650.188		650.188		650.188		650.188	
Median(nm)		67.1146		66.9563		66.8258		66.6993
Mean(nm)	81.5394		81.018		80.6537		80.492	
Geo. Mean(nm)	66.1034		65.775		65.6009		65.5492	
Mode(nm)	66.1169		68.539		68.539		71.0497	
Geo. Std. Dev.	1.93648		1.93419		1.9282		1.92417	
Total Concentration(#/cm³)	1.33E+06		1.31E+06		1.31E+06		1.31E+06	
Raw Data - Time(s)	Diameter #1	Counts #1	Diameter #2	Counts #2	Diameter #3	Counts #3	Diameter #4	Counts #4
0.1	6.856757	1	6.856757	18	6.856757	10	6.856757	11
0.2	6.876653	0	6.876653	10	6.876653	6	6.876653	9
0.3	6.896675	1	6.896675	6	6.896675	9	6.896675	6
0.4	6.916688	0	6.916688	7	6.916688	1	6.916688	7
0.5	6.936759	0	6.936759	7	6.936759	10	6.936759	8
0.6	6.956821	1	6.956821	8	6.956821	6	6.956821	10
0.7	6.97701	0	6.97701	7	6.97701	12	6.97701	8
0.8	6.997259	0	6.997259	7	6.997259	7	6.997259	8
0.9	7.017635	0	7.017635	11	7.017635	6	7.017635	9
1	7.038002	1	7.038002	5	7.038002	6	7.038002	7
1.1	7.058428	0	7.058428	7	7.058428	6	7.058428	2
1.2	7.078915	0	7.078915	3	7.078915	12	7.078915	3
1.3	7.099391	0	7.099391	10	7.099391	3	7.099391	8
1.4	7.119998	0	7.119998	7	7.119998	7	7.119998	2
1.5	7.140665	0	7.140665	8	7.140665	8	7.140665	5
1.6	7.161392	2	7.161392	6	7.161392	6	7.161392	5
1.7	7.18218	1	7.18218	10	7.18218	7	7.18218	4
1.8	7.2031	0	7.2031	3	7.2031	11	7.2031	9
1.9	7.22401	1	7.22401	6	7.22401	4	7.22401	4
2	7.244981	0	7.244981	4	7.244981	10	7.244981	6
2.1	7.266014	0	7.266014	5	7.266014	7	7.266014	4
2.2	7.287108	1	7.287108	4	7.287108	6	7.287108	1
2.3	7.308193	0	7.308193	4	7.308193	6	7.308193	7
2.4	7.329411	1	7.329411	1	7.329411	3	7.329411	5
2.5	7.350691	1	7.350691	4	7.350691	2	7.350691	4
2.6	7.372034	1	7.372034	2	7.372034	8	7.372034	4
2.7	7.393439	0	7.393439	3	7.393439	3	7.393439	10
2.8	7.414907	0	7.414907	4	7.414907	4	7.414907	7
2.9	7.436511	0	7.436511	4	7.436511	4	7.436511	5
3	7.458105	0	7.458105	5	7.458105	4	7.458105	6
3.1	7.479762	0	7.479762	7	7.479762	3	7.479762	3
3.2	7.501483	0	7.501483	6	7.501483	1	7.501483	3
3.3	7.523267	0	7.523267	4	7.523267	3	7.523267	3
3.4	7.545115	0	7.545115	7	7.545115	5	7.545115	3
3.5	7.567028	2	7.567028	2	7.567028	1	7.567028	6
3.6	7.589004	0	7.589004	4	7.589004	7	7.589004	5
3.7	7.611045	1	7.611045	2	7.611045	2	7.611045	3
3.8	7.633076	0	7.633076	6	7.633076	5	7.633076	2
3.9	7.655246	0	7.655246	4	7.655246	2	7.655246	3
4	7.677482	0	7.677482	2	7.677482	5	7.677482	3
4.1	7.699782	0	7.699782	4	7.699782	3	7.699782	6
4.2	7.722148	0	7.722148	6	7.722148	5	7.722148	1
4.3	7.74458	0	7.74458	3	7.74458	4	7.74458	1
4.4	7.767077	1	7.767077	4	7.767077	4	7.767077	3
4.5	7.78964	1	7.78964	4	7.78964	5	7.78964	7
4.6	7.81227	1	7.81227	4	7.81227	6	7.81227	1
4.7	7.834966	0	7.834966	4	7.834966	1	7.834966	2
4.8	7.857728	0	7.857728	3	7.857728	3	7.857728	3
4.9	7.880557	0	7.880557	7	7.880557	0	7.880557	3
5	7.903454	0	7.903454	4	7.903454	4	7.903454	4
