Sample File	C:\Users\EARL_Administrator\Desktop\OVERNIGHT THE REAL DEAL\Sucrose to Ammonium Sulfate\1. Sucrose pre mixing tube\Sucrose pre mixing.S80									
Classifier Model	3080									
DMA Model	3081									
DMA Inner Radius(cm)	0.00937									
DMA Outer Radius(cm)	0.01961									
DMA Characteristic Length(cm)	0.44369									
CPC Model	3776 Low Flow									
Reference Gas Viscosity (Pa*s)	1.83E-05									
Reference Mean Free Path (m)	6.73E-08									
Reference Gas Temperature (K)	296.15									
Reference Gas Pressure (kPa)	101.3									
Channels/Decade	64									
Multiple Charge Correction	FALSE									
Nanoparticle Aggregate Mobility Analysis	FALSE									
Diffusion Correction	FALSE									
Units	dw/dlogDp									
Weight	Number									
Sample #	1		2		3		4		5	
Date	9/4/21		9/4/21		9/4/21		9/4/21		9/4/21	
Start Time	13:11:24		13:13:42		13:15:57		13:18:12		13:20:27	
Diameter Midpoint										
8.2	8315.62		16223.1		16463.8		11207.8		19403.1	
8.51	9333.73		9217.96		15653.4		9855.74		12638.3	
8.82	16481		9902.57		16481		7073.74		9116.78	
9.14	27213		20002.7		13689.6		5523.67		9710.09	
9.47	26288.4		12999.1		12553.3		21424.7		12706.7	
9.82	37155.3		24958.4		21982.1		25372		21268.1	
10.2	30657.9		28776.3		24802.1		34639.1		19743.3	
10.6	53574.3		43838.1		30875.3		33726.2		29450.1	
10.9	57546.1		40494.1		37400.6		47900.7		30564.7	
11.3	57291		61907.2		44536.9		54174.2		42797.4	
11.8	73471.6		79918.5		51723.1		70521.8		59265.3	
12.2	102394		82192.4		92036.1		90082.8		70992.4	
12.6	108527		106288		95905.7		87934.6		87294.2	
13.1	118781		112396		106516		113464		95508.2	
13.6	153369		115117		120697		132952		128052	
14.1	188250		176798		138776		184566		134240	
14.6	216250		181537		172537		166867		181476	
15.1	262753		218217		211399		213983		198149	
15.7	305642		256754		222780		236482		231791	
16.3	321569		272596		250624		283761		257822	
16.8	331439		308659		308956		321483		302747	
17.5	382699		350732		330365		363617		352064	
18.1	427159		381079		369874		419767		363886	
18.8	466385		441665		409423		436411		417495	
19.5	512818		476792		435818		494302		458458	
20.2	536821		515645		502000		512750		475193	
20.9	590000		549433		568306		550224		515615	
21.7	611790		564169		551279		565828		584168	
22.5	654621		647045		629629		650445		616279	
23.3	693614		649089		645353		705273		671090	
24.1	732247		728417		686965		712056		703398	
25	801806		786443		738093		774332		742080	
25.9	818569		796637		781754		806468		786024	
26.9	816178		822237		823840		875107		846527	
27.9	893112		861419		836750		862627		850356	
28.9	959184		932972		917650		920751		942770	
30	957352		960360		889497		947299		902897	
31.1	997902		978465		943399		994977		1.01E+06	
32.2	995731		1.06E+06		987451		1.04E+06		1.01E+06	
33.4	1.05E+06		1.05E+06		1.03E+06		1.07E+06		1.08E+06	
34.6	1.09E+06		1.07E+06		1.08E+06		1.11E+06		1.09E+06	
35.9	1.12E+06		1.07E+06		1.10E+06		1.12E+06		1.10E+06	
37.2	1.14E+06		1.13E+06		1.13E+06		1.17E+06		1.16E+06	
38.5	1.19E+06		1.13E+06		1.16E+06		1.19E+06		1.15E+06	
40	1.18E+06		1.17E+06		1.17E+06		1.20E+06		1.19E+06	
41.4	1.20E+06		1.19E+06		1.19E+06		1.22E+06		1.22E+06	
42.9	1.22E+06		1.21E+06		1.18E+06		1.27E+06		1.25E+06	
44.5	1.22E+06		1.24E+06		1.23E+06		1.27E+06		1.22E+06	
46.1	1.24E+06		1.23E+06		1.26E+06		1.31E+06		1.25E+06	
47.8	1.24E+06		1.27E+06		1.25E+06		1.30E+06		1.27E+06	
49.6	1.27E+06		1.26E+06		1.23E+06		1.31E+06		1.29E+06	
51.4	1.28E+06		1.26E+06		1.25E+06		1.33E+06		1.30E+06	
53.3	1.29E+06		1.26E+06		1.27E+06		1.35E+06		1.32E+06	
55.2	1.29E+06		1.27E+06		1.24E+06		1.33E+06		1.33E+06	
57.3	1.30E+06		1.25E+06		1.29E+06		1.33E+06		1.30E+06	
59.4	1.30E+06		1.27E+06		1.24E+06		1.30E+06		1.29E+06	
61.5	1.27E+06		1.24E+06		1.23E+06		1.27E+06		1.28E+06	
63.8	1.26E+06		1.20E+06		1.23E+06		1.30E+06		1.24E+06	
66.1	1.24E+06		1.22E+06		1.24E+06		1.25E+06		1.20E+06	
68.5	1.16E+06		1.21E+06		1.15E+06		1.22E+06		1.14E+06	
71	1.15E+06		1.14E+06		1.08E+06		1.15E+06		1.10E+06	
73.7	1.11E+06		1.07E+06		1.06E+06		1.09E+06		1.05E+06	
76.4	1.06E+06		1.02E+06		1.02E+06		1.02E+06		985315	
79.1	1.01E+06		975830		924482		954423		937104	
82	940695		909272		883921		927314		865172	
85.1	874720		871073		821567		841416		784518	
88.2	824771		819529		756769		764658		699689	
91.4	755670		718848		674448		693316		630590	
94.7	709343		653721		607744		638110		570772	
98.2	638639		605697		550522		557175		513888	
101.8	550673		537647		497593		504022		460107	
105.5	533339		477496		452716		447562		400780	
109.4	456768		422485		373889		384513		347117	
113.4	410751		371675		339359		346992		307361	
117.6	347799		324768		288330		287888		252022	
121.9	318270		288366		243121		243599		213318	
126.3	282914		242819		204246		209049		170556	
131	245135		203815		170168		180423		158853	
135.8	217267		183421		141449		151074		125275	
140.7	188482		146804		125686		128269		113278	
145.9	159467		129560		105909		96255		83991.8	
151.2	131447		108081		83454.6		89677.1		69965.7	
156.8	107925		87791		66758.2		68902.8		49530.6	
162.5	91816.3		74990.7		53337.4		49918.3		49895.7	
168.5	74526.5		57824.3		38185.5		42059.5		37590.8	
174.7	59905.8		41311.5		31183.6		33693.1		30751.3	
181.1	45522.9		34869.8		25888.8		28291		23196.8	
187.7	38394.3		27694.2		19865.3		21115.4		15207.2	
194.6	31505.6		23852.8		13959.8		15695.7		13360.9	
201.7	24017.4		17649.4		8865.79		11938		10340.6	
209.1	18276.4		14301.8		7531.59		9332.44		8593.55	
216.7	16131.8		9548.03		6132.27		6973.05		6132.27	
224.7	12421.6		8119.12		7037.23		5511.91		5225.04	
232.9	8666.69		6612.12		4008.82		6011.82		4940.66	
241.4	5513.46		6839.37		4337.49		3107.81		4668.49	
250.3	7624.23		3987.1		4292.24		4517.86		3151.23	
259.5	5493.21		4546.91		2800.81		2452.76		2754.94	
269	3822.79		3101.26		1680.01		1820.49		2974.18	
278.8	4552.82		2704.02		2912.65		735.692		1473.82	
289	2503.14		3503.41		1436.99		2439.73		1502.87	
299.6	1635.17		1525.38		1300.97		2173.45		3414.78	
310.6	3500.13		2350.22		2862.77		3265.89		1443.59	
322	1556.42		2365.41		1724.27		1773.67		2079.37	
333.8	2414.01		747.849		1457.76		1919.88		1862.25	
346	1864.13		2284.42		649.589		1884.06		1746.12	
Scan Up Time(s)	120		120		120		120		120	
Retrace Time(s)	15		15		15		15		15	
Down Scan First	FALSE		FALSE		FALSE		FALSE		FALSE	
Scans Per Sample	1		1		1		1		1	
Impactor Type(cm)	0.071		0.071		0.071		0.071		0.071	
Sheath Flow(lpm)	7.99998		7.99998		7.99998		7.99998		7.99998	
Aerosol Flow(lpm)	0.8		0.8		0.8		0.8		0.8	
CPC Inlet Flow(lpm)	0.3		0.3		0.3		0.3		0.3	
CPC Sample Flow(lpm)	0.05		0.05		0.05		0.05		0.05	
Low Voltage	10.0725		10.0725		10.0725		10.0725		10.0725	
High Voltage	9959.97		9959.97		9959.97		9959.97		9959.97	
Lower Size(nm)	8.05842		8.05842		8.05842		8.05842		8.05842	
Upper Size(nm)	352.269		352.269		352.269		352.269		352.269	
Density(g/cc)	1.59		1.59		1.59		1.59		1.59	
Title										
Status Flag	Normal Scan		Normal Scan		Normal Scan		Normal Scan		Normal Scan	
td(s)	2.84875		2.84875		2.84875		2.84875		2.84875	
tf(s)	2.82031		2.82031		2.82031		2.82031		2.82031	
D50(nm)	650.188		650.188		650.188		650.188		650.188	
Median(nm)		47.2725		47.1238		46.8276		46.7198		46.4459
Mean(nm)	53.8939		53.3494		52.5526		52.3422		51.806	
Geo. Mean(nm)	46.0485		45.9565		45.615		45.4125		45.1698	
Mode(nm)	59.3523		59.3523		57.2549		53.2798		55.2316	
Geo. Std. Dev.	1.76782		1.74181		1.71857		1.71974		1.70227	
Total Concentration(#/cm³)	850143		820937		795509		828567		797117	
Raw Data - Time(s)	Diameter #1	Counts #1	Diameter #2	Counts #2	Diameter #3	Counts #3	Diameter #4	Counts #4	Diameter #5	Counts #5
0.1	6.856757	0	6.856757	3	6.856757	2	6.856757	2	6.856757	4
0.2	6.876653	0	6.876653	3	6.876653	3	6.876653	4	6.876653	3
0.3	6.896675	0	6.896675	4	6.896675	2	6.896675	1	6.896675	1
0.4	6.916688	0	6.916688	3	6.916688	1	6.916688	3	6.916688	4
0.5	6.936759	0	6.936759	1	6.936759	3	6.936759	3	6.936759	1
0.6	6.956821	0	6.956821	2	6.956821	3	6.956821	6	6.956821	3
0.7	6.97701	0	6.97701	3	6.97701	5	6.97701	1	6.97701	1
0.8	6.997259	0	6.997259	5	6.997259	1	6.997259	1	6.997259	4
0.9	7.017635	0	7.017635	3	7.017635	3	7.017635	4	7.017635	3
1	7.038002	0	7.038002	5	7.038002	1	7.038002	2	7.038002	3
1.1	7.058428	0	7.058428	4	7.058428	1	7.058428	3	7.058428	2
1.2	7.078915	0	7.078915	0	7.078915	1	7.078915	2	7.078915	1
1.3	7.099391	0	7.099391	0	7.099391	2	7.099391	3	7.099391	3
1.4	7.119998	0	7.119998	0	7.119998	3	7.119998	3	7.119998	3
1.5	7.140665	0	7.140665	4	7.140665	3	7.140665	4	7.140665	0
1.6	7.161392	0	7.161392	1	7.161392	3	7.161392	1	7.161392	0
1.7	7.18218	0	7.18218	2	7.18218	2	7.18218	1	7.18218	3
1.8	7.2031	0	7.2031	3	7.2031	3	7.2031	2	7.2031	2
1.9	7.22401	0	7.22401	2	7.22401	1	7.22401	0	7.22401	2
2	7.244981	0	7.244981	4	7.244981	1	7.244981	2	7.244981	3
2.1	7.266014	0	7.266014	3	7.266014	1	7.266014	3	7.266014	2
2.2	7.287108	0	7.287108	2	7.287108	1	7.287108	1	7.287108	2
2.3	7.308193	0	7.308193	2	7.308193	2	7.308193	1	7.308193	0
2.4	7.329411	0	7.329411	1	7.329411	1	7.329411	0	7.329411	3
2.5	7.350691	0	7.350691	2	7.350691	1	7.350691	2	7.350691	0
2.6	7.372034	0	7.372034	0	7.372034	1	7.372034	1	7.372034	3
2.7	7.393439	0	7.393439	2	7.393439	1	7.393439	2	7.393439	1
2.8	7.414907	0	7.414907	2	7.414907	1	7.414907	3	7.414907	1
2.9	7.436511	0	7.436511	1	7.436511	0	7.436511	1	7.436511	3
