# time (s)
# rate = scaling parameter
# emissions (mol m^{-2} s^{-1})
time            0             3600         7200         10800         14400         18000        21600       25200        28800     32400     36000     39600     43200     46800     50400     54000     57600     61200     64800     68400     72000     75600     79200     82800     90000    93600    97200    100800    104400    108000
rate      0.5    0.5      0.5    0.5    0.5     0.5     0.5     0.5    0.5  0.5    0.5   0.5   0    0    0   0   0     0      0     0     0     0     0     0	0	0	0	0	0	0     
#rate      0.8    0.8      0.8    0.8    0.8     0.8     0.8     0.8    0.8  0.8    0.8   0.8   0    0    0   0   0     0      0     0     0     0     0     0 
#rate            1        1           1         1            1           1           1           1          1        1          1         1        0        0         0          0         0          0          0          0        0          0          0         0     0     0     0     0     0     0
SO2    4.234E-09   5.481E-09   5.089E-09   5.199E-09   5.221E-09   5.284E-09   5.244E-09   5.280E-09   5.560E-09   5.343E-09   4.480E-09   3.858E-09   3.823E-09   3.607E-09   3.533E-09   3.438E-09   2.866E-09   2.667E-09   2.636E-09   2.573E-09   2.558E-09   2.573E-09   2.715E-09   3.170E-09   4.234E-09   5.481E-09   5.089E-09   5.199E-09   5.221E-09   5.284E-09 
NO2    3.024E-09   3.334E-09   3.063E-09   3.281E-09   3.372E-09   3.523E-09   3.402E-09   3.551E-09   3.413E-09   3.985E-09   3.308E-09   2.933E-09   2.380E-09   1.935E-09   1.798E-09   1.537E-09   9.633E-10   8.873E-10   7.968E-10   6.156E-10   5.920E-10   6.320E-10   9.871E-10   1.901E-09   .024E-09   3.334E-09   3.063E-09   3.281E-09   3.372E-09   3.523E-09
NO	5.749E-08   6.338E-08   5.825E-08   6.237E-08   6.411E-08   6.699E-08   6.468E-08   6.753E-08   6.488E-08   7.575E-08   6.291E-08   5.576E-08   4.524E-08   3.679E-08   3.419E-08   2.924E-08   1.832E-08   1.687E-08   1.515E-08   1.171E-08   1.125E-08   1.202E-08   1.877E-08   3.615E-08   5.749E-08   6.338E-08   5.825E-08   6.237E-08   6.411E-08   6.699E-08
#NH3        1.786E-08   1.741E-08   3.278E-08   2.932E-08   3.281E-08   3.761E-08   3.300E-08   3.609E-08   2.694E-08   1.349E-08   1.083E-08   5.106E-09   4.174E-09   4.577E-09   5.453E-09   5.476E-09   1.992E-09   5.414E-09   1.968E-09   1.935E-09   1.981E-09   2.069E-09   2.165E-09   5.493E-09
NH3       8.93E-09  8.705E-09	1.639E-08  1.466E-08	1.6405E-08	1.8805E-08	1.65E-08   1.8045E-08	1.347E-08   6.745E-09	5.415E-09   2.553E-09	2.087E-09   2.2885E-09	2.7265E-09   2.738E-09	9.96E-10	2.707E-09	9.84E-10	9.675E-10	9.905E-10	1.0345E-09	1.0825E-09	2.7465E-09   8.93E-09  8.705E-09   1.639E-08  1.466E-08    1.6405E-08      1.8805E-08 
CO        7.839E-07   5.837E-07   4.154E-07   4.458E-07   4.657E-07   4.912E-07   4.651E-07   4.907E-07   6.938E-07   8.850E-07   8.135E-07   4.573E-07   3.349E-07   2.437E-07   2.148E-07   1.662E-07   8.037E-08   7.841E-08   6.411E-08   2.551E-08   2.056E-08   3.058E-08   1.083E-07   3.938E-07   7.839E-07   5.837E-07   4.154E-07   4.458E-07   4.657E-07   4.912E-07
ALD2   1.702E-09   1.283E-09   9.397E-10   1.024E-09   1.076E-09   1.132E-09   1.068E-09   1.130E-09   1.651E-09   2.132E-09   1.985E-09   1.081E-09   7.847E-10   5.676E-10   5.003E-10   3.838E-10   1.784E-10   1.766E-10   1.430E-10   5.173E-11   4.028E-11   6.349E-11   2.428E-10   8.716E-10   1.702E-09   1.283E-09   9.397E-10   1.024E-09   1.076E-09   1.132E-09 
HCHO	   4.061E-09   3.225E-09   2.440E-09   2.639E-09   2.754E-09   2.888E-09   2.741E-09   2.885E-09   4.088E-09   5.186E-09   4.702E-09   2.601E-09   1.923E-09   1.412E-09   1.252E-09   9.776E-10   4.687E-10   4.657E-10   3.836E-10   1.717E-10   1.448E-10   1.976E-10   6.193E-10   2.090E-09    4.061E-09   3.225E-09   2.440E-09   2.639E-09   2.754E-09   2.888E-09
ETH       1.849E-08   1.391E-08   1.010E-08   1.095E-08   1.148E-08   1.209E-08   1.142E-08   1.205E-08   1.806E-08   2.320E-08   2.149E-08   1.146E-08   8.384E-09   6.124E-09   5.414E-09   4.119E-09   1.953E-09   1.927E-09   1.575E-09   6.164E-10   4.973E-10   7.420E-10   2.653E-09   9.477E-09   1.849E-08   1.391E-08   1.010E-08   1.095E-08   1.148E-08   1.209E-08
OLEI       5.948E-09   4.573E-09   3.374E-09   3.668E-09   3.851E-09   4.050E-09   3.841E-09   4.052E-09   6.094E-09   7.795E-09   7.215E-09   3.738E-09   2.718E-09   1.973E-09   1.729E-09   1.338E-09   6.333E-10   6.394E-10   5.126E-10   2.089E-10   1.708E-10   2.480E-10   8.947E-10   3.057E-09   5.948E-09   4.573E-09   3.374E-09   3.668E-09   3.851E-09   4.050E-09
OLET      5.948E-09   4.573E-09   3.374E-09   3.668E-09   3.851E-09   4.050E-09   3.841E-09   4.052E-09   6.094E-09   7.795E-09   7.215E-09   3.738E-09   2.718E-09   1.973E-09   1.729E-09   1.338E-09   6.333E-10   6.394E-10   5.126E-10   2.089E-10   1.708E-10   2.480E-10   8.947E-10   3.057E-09    5.948E-09   4.573E-09   3.374E-09   3.668E-09   3.851E-09   4.050E-09
TOL        6.101E-09   8.706E-09   7.755E-09   8.024E-09   8.202E-09   8.410E-09   8.218E-09   8.407E-09   1.020E-08   1.139E-08   7.338E-09   4.184E-09   3.078E-09   2.283E-09   2.010E-09   1.575E-09   8.966E-10   6.705E-10   5.395E-10   2.462E-10   2.106E-10   2.852E-10   9.300E-10   3.144E-09   6.101E-09   8.706E-09   7.755E-09   8.024E-09   8.202E-09   8.410E-09 
XYL        5.599E-09   4.774E-09   3.660E-09   3.909E-09   4.060E-09   4.239E-09   4.060E-09   4.257E-09   6.036E-09   7.448E-09   6.452E-09   3.435E-09   2.525E-09   1.859E-09   1.650E-09   1.302E-09   6.852E-10   6.773E-10   5.437E-10   2.697E-10   2.358E-10   3.059E-10   8.552E-10   2.861E-10   5.599E-09   4.774E-09   3.660E-09   3.909E-09   4.060E-09   4.239E-09   
AONE       7.825E-10   2.858E-09   2.938E-09   2.947E-09   2.948E-09   2.951E-09   2.947E-09   2.954E-09   3.032E-09   2.766E-09   1.313E-09   1.015E-09   8.363E-10   7.040E-10   6.404E-10   6.264E-10   5.661E-10   1.538E-10   1.500E-10   1.395E-10   1.476E-10   1.503E-10   2.256E-10   4.244E-10    7.825E-10   2.858E-09   2.938E-09   2.947E-09   2.948E-09   2.951E-09 
PAR        1.709E-07   1.953E-07   1.698E-07   1.761E-07   1.808E-07   1.865E-07   1.822E-07   1.859E-07   2.412E-07   2.728E-07   2.174E-07   1.243E-07   9.741E-08   7.744E-08   6.931E-08   5.805E-08   3.900E-08   3.317E-08   2.956E-08   2.306E-08   2.231E-08   2.395E-08   4.284E-08   9.655E-08    1.709E-07   1.953E-07   1.698E-07   1.761E-07   1.808E-07   1.865E-07 
ISOP         2.412E-10   2.814E-10   3.147E-10   4.358E-10   5.907E-10   6.766E-10   6.594E-10   5.879E-10   5.435E-10   6.402E-10   5.097E-10   9.990E-11   7.691E-11   5.939E-11   5.198E-11   4.498E-11   3.358E-11   2.946E-11   2.728E-11   2.183E-11   1.953E-11   1.890E-11   2.948E-11   1.635E-10   2.412E-10   2.814E-10   3.147E-10   4.358E-10   5.907E-10   6.766E-10 
