# time (s)														
# rate = scaling parameter												
# emissions (mol m^{-2} s^{-1})					
time	0	3600	7200	10800	14400	18000	21600	25200	28800	32400	36000	39600	43200	46800	50400	54000	57600	61200	64800	68400	72000	75600	79200	82800	90000	93600	97200	100800	104400	108000
rate	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SO2	4.23E-09	5.48E-09	5.09E-09	5.20E-09	5.22E-09	5.28E-09	5.24E-09	5.28E-09	5.56E-09	5.34E-09	4.48E-09	3.86E-09	3.82E-09	3.61E-09	3.53E-09	3.44E-09	2.87E-09	2.67E-09	2.64E-09	2.57E-09	2.56E-09	2.57E-09	2.72E-09	3.17E-09	4.23E-09	5.48E-09	5.09E-09	5.20E-09	5.22E-09	5.28E-09
#NO2 original
#NO2	3.02E-09	3.33E-09	3.06E-09	3.28E-09	3.37E-09	3.52E-09	3.40E-09	3.55E-09	3.41E-09	3.99E-09	3.31E-09	2.93E-09	2.38E-09	1.94E-09	1.80E-09	1.54E-09	9.63E-10	8.87E-10	7.97E-10	6.16E-10	5.92E-10	6.32E-10	9.87E-10	1.90E-09	2.40E-11	3.33E-09	3.06E-09	3.28E-09	3.37E-09	3.52E-09
#NO2x0.5
#NO2	1.51E-09	1.67E-09	1.53E-09	1.64E-09	1.69E-09	1.76E-09	1.70E-09	1.78E-09	1.71E-09	1.99E-09	1.65E-09	1.47E-09	1.19E-09	9.68E-10	8.99E-10	7.69E-10	4.82E-10	4.44E-10	3.98E-10	3.08E-10	2.96E-10	3.16E-10	4.94E-10	9.51E-10	1.20E-11	1.67E-09	1.53E-09	1.64E-09	1.69E-09	1.76E-09
#NO2x0.25
NO2	7.56E-10	8.34E-10	7.66E-10	8.20E-10	8.43E-10	8.81E-10	8.51E-10	8.88E-10	8.53E-10	9.96E-10	8.27E-10	7.33E-10	5.95E-10	4.84E-10	4.50E-10	3.84E-10	2.41E-10	2.22E-10	1.99E-10	1.54E-10	1.48E-10	1.58E-10	2.47E-10	4.75E-10	6.00E-12	8.34E-10	7.66E-10	8.20E-10	8.43E-10	8.81E-10
#NO original
#NO	5.75E-08	6.34E-08	5.83E-08	6.24E-08	6.41E-08	6.70E-08	6.47E-08	6.75E-08	6.49E-08	7.58E-08	6.29E-08	5.58E-08	4.52E-08	3.68E-08	3.42E-08	2.92E-08	1.83E-08	1.69E-08	1.52E-08	1.17E-08	1.13E-08	1.20E-08	1.88E-08	3.62E-08	5.75E-08	6.34E-08	5.83E-08	6.24E-08	6.41E-08	6.70E-08
#NOx0.5
#NO	2.87E-08	3.17E-08	2.91E-08	3.12E-08	3.21E-08	3.35E-08	3.23E-08	3.38E-08	3.24E-08	3.79E-08	3.15E-08	2.79E-08	2.26E-08	1.84E-08	1.71E-08	1.46E-08	9.16E-09	8.44E-09	7.58E-09	5.86E-09	5.63E-09	6.01E-09	9.39E-09	1.81E-08	2.87E-08	3.17E-08	2.91E-08	3.12E-08	3.21E-08	3.35E-08
#NOx0.25
NO	1.44E-08	1.58E-08	1.46E-08	1.56E-08	1.60E-08	1.67E-08	1.62E-08	1.69E-08	1.62E-08	1.89E-08	1.57E-08	1.39E-08	1.13E-08	9.20E-09	8.55E-09	7.31E-09	4.58E-09	4.22E-09	3.79E-09	2.93E-09	2.81E-09	3.01E-09	4.69E-09	9.04E-09	1.44E-08	1.58E-08	1.46E-08	1.56E-08	1.60E-08	1.67E-08
#NH3 original
#NH3	1.79E-08	1.74E-08	3.28E-08	2.93E-08	3.28E-08	3.76E-08	3.30E-08	3.61E-08	2.69E-08	1.35E-08	1.08E-08	5.11E-09	4.17E-09	4.58E-09	5.45E-09	5.48E-09	1.99E-09	5.41E-09	1.97E-09	1.94E-09	1.98E-09	2.07E-09	2.17E-09	5.49E-09						
#NH3x0.5 (used for original testcase)
#NH3	8.93E-09	8.71E-09	1.64E-08	1.47E-08	1.64E-08	1.88E-08	1.65E-08	1.80E-08	1.35E-08	6.75E-09	5.42E-09	2.55E-09	2.09E-09	2.29E-09	2.73E-09	2.74E-09	9.96E-10	2.71E-09	9.84E-10	9.68E-10	9.91E-10	1.03E-09	1.08E-09	2.75E-09	8.93E-09	8.71E-09	1.64E-08	1.47E-08	1.64E-08	1.88E-08
#NH3x0.25
#NH3	4.47E-09	4.35E-09	8.20E-09	7.33E-09	8.20E-09	9.40E-09	8.25E-09	9.02E-09	6.74E-09	3.37E-09	2.71E-09	1.28E-09	1.04E-09	1.14E-09	1.36E-09	1.37E-09	4.98E-10	1.35E-09	4.92E-10	4.84E-10	4.95E-10	5.17E-10	5.41E-10	1.37E-09	4.47E-09	4.35E-09	8.20E-09	7.33E-09	8.20E-09	9.40E-09
#NH3x0.125
NH3	2.23E-09	2.18E-09	4.10E-09	3.67E-09	4.10E-09	4.70E-09	4.13E-09	4.51E-09	3.37E-09	1.69E-09	1.35E-09	6.38E-10	5.22E-10	5.72E-10	6.82E-10	6.85E-10	2.49E-10	6.77E-10	2.46E-10	2.42E-10	2.48E-10	2.59E-10	2.71E-10	6.87E-10	2.23E-09	2.18E-09	4.10E-09	3.67E-09	4.10E-09	4.70E-09
CO	7.84E-07	5.84E-07	4.15E-07	4.46E-07	4.66E-07	4.91E-07	4.65E-07	4.91E-07	6.94E-07	8.85E-07	8.14E-07	4.57E-07	3.35E-07	2.44E-07	2.15E-07	1.66E-07	8.04E-08	7.84E-08	6.41E-08	2.55E-08	2.06E-08	3.06E-08	1.08E-07	3.94E-07	7.84E-07	5.84E-07	4.15E-07	4.46E-07	4.66E-07	4.91E-07
ALD2	1.70E-09	1.28E-09	9.40E-10	1.02E-09	1.08E-09	1.13E-09	1.07E-09	1.13E-09	1.65E-09	2.13E-09	1.99E-09	1.08E-09	7.85E-10	5.68E-10	5.00E-10	3.84E-10	1.78E-10	1.77E-10	1.43E-10	5.17E-11	4.03E-11	6.35E-11	2.43E-10	8.72E-10	1.70E-09	1.28E-09	9.40E-10	1.02E-09	1.08E-09	1.13E-09
HCHO	4.06E-09	3.23E-09	2.44E-09	2.64E-09	2.75E-09	2.89E-09	2.74E-09	2.89E-09	4.09E-09	5.19E-09	4.70E-09	2.60E-09	1.92E-09	1.41E-09	1.25E-09	9.78E-10	4.69E-10	4.66E-10	3.84E-10	1.72E-10	1.45E-10	1.98E-10	6.19E-10	2.09E-09	4.06E-09	3.23E-09	2.44E-09	2.64E-09	2.75E-09	2.89E-09
ETH	1.85E-08	1.39E-08	1.01E-08	1.10E-08	1.15E-08	1.21E-08	1.14E-08	1.21E-08	1.81E-08	2.32E-08	2.15E-08	1.15E-08	8.38E-09	6.12E-09	5.41E-09	4.12E-09	1.95E-09	1.93E-09	1.58E-09	6.16E-10	4.97E-10	7.42E-10	2.65E-09	9.48E-09	1.85E-08	1.39E-08	1.01E-08	1.10E-08	1.15E-08	1.21E-08
OLEI	5.95E-09	4.57E-09	3.37E-09	3.67E-09	3.85E-09	4.05E-09	3.84E-09	4.05E-09	6.09E-09	7.80E-09	7.22E-09	3.74E-09	2.72E-09	1.97E-09	1.73E-09	1.34E-09	6.33E-10	6.39E-10	5.13E-10	2.09E-10	1.71E-10	2.48E-10	8.95E-10	3.06E-09	5.95E-09	4.57E-09	3.37E-09	3.67E-09	3.85E-09	4.05E-09
OLET	5.95E-09	4.57E-09	3.37E-09	3.67E-09	3.85E-09	4.05E-09	3.84E-09	4.05E-09	6.09E-09	7.80E-09	7.22E-09	3.74E-09	2.72E-09	1.97E-09	1.73E-09	1.34E-09	6.33E-10	6.39E-10	5.13E-10	2.09E-10	1.71E-10	2.48E-10	8.95E-10	3.06E-09	5.95E-09	4.57E-09	3.37E-09	3.67E-09	3.85E-09	4.05E-09
TOL	6.10E-09	8.71E-09	7.76E-09	8.02E-09	8.20E-09	8.41E-09	8.22E-09	8.41E-09	1.02E-08	1.14E-08	7.34E-09	4.18E-09	3.08E-09	2.28E-09	2.01E-09	1.58E-09	8.97E-10	6.71E-10	5.40E-10	2.46E-10	2.11E-10	2.85E-10	9.30E-10	3.14E-09	6.10E-09	8.71E-09	7.76E-09	8.02E-09	8.20E-09	8.41E-09
XYL	5.60E-09	4.77E-09	3.66E-09	3.91E-09	4.06E-09	4.24E-09	4.06E-09	4.26E-09	6.04E-09	7.45E-09	6.45E-09	3.44E-09	2.53E-09	1.86E-09	1.65E-09	1.30E-09	6.85E-10	6.77E-10	5.44E-10	2.70E-10	2.36E-10	3.06E-10	8.55E-10	2.86E-10	5.60E-09	4.77E-09	3.66E-09	3.91E-09	4.06E-09	4.24E-09
AONE	7.83E-10	2.86E-09	2.94E-09	2.95E-09	2.95E-09	2.95E-09	2.95E-09	2.95E-09	3.03E-09	2.77E-09	1.31E-09	1.02E-09	8.36E-10	7.04E-10	6.40E-10	6.26E-10	5.66E-10	1.54E-10	1.50E-10	1.40E-10	1.48E-10	1.50E-10	2.26E-10	4.24E-10	7.83E-10	2.86E-09	2.94E-09	2.95E-09	2.95E-09	2.95E-09
PAR	1.71E-07	1.95E-07	1.70E-07	1.76E-07	1.81E-07	1.87E-07	1.82E-07	1.86E-07	2.41E-07	2.73E-07	2.17E-07	1.24E-07	9.74E-08	7.74E-08	6.93E-08	5.81E-08	3.90E-08	3.32E-08	2.96E-08	2.31E-08	2.23E-08	2.40E-08	4.28E-08	9.66E-08	1.71E-07	1.95E-07	1.70E-07	1.76E-07	1.81E-07	1.87E-07
ISOP	2.41E-10	2.81E-10	3.15E-10	4.36E-10	5.91E-10	6.77E-10	6.59E-10	5.88E-10	5.44E-10	6.40E-10	5.10E-10	9.99E-11	7.69E-11	5.94E-11	5.20E-11	4.50E-11	3.36E-11	2.95E-11	2.73E-11	2.18E-11	1.95E-11	1.89E-11	2.95E-11	1.64E-10	2.41E-10	2.81E-10	3.15E-10	4.36E-10	5.91E-10	6.77E-10
CH3OH	2.37E-10	6.11E-10	6.89E-10	6.89E-10	6.89E-10	6.89E-10	6.89E-10	6.89E-10	6.89E-10	5.41E-10	3.70E-10	2.55E-10	1.42E-10	6.70E-11	2.91E-11	2.88E-11	2.83E-11	2.06E-12	2.06E-12	2.06E-12	2.44E-12	2.44E-12	4.03E-11	1.17E-10	2.37E-10	6.11E-10	6.89E-10	6.89E-10	6.89E-10	6.89E-10
ANOL	5.30E-09	7.96E-09	7.65E-09	7.65E-09	7.43E-09	7.43E-09	7.43E-09	7.43E-09	7.43E-09	6.98E-09	5.67E-09	4.36E-09	4.15E-09	3.29E-09	2.86E-09	2.86E-09	1.13E-09	9.62E-10	9.62E-10	9.62E-10	9.65E-10	9.65E-10	1.40E-09	2.26E-09	5.30E-09	7.96E-09	7.65E-09	7.65E-09	7.43E-09	7.43E-09
